subj_idx,date,trialnum,stim,response,rt
175,2017-11-11,6,2,1,11.7
175,2017-11-11,7,2,1,8.81
175,2017-11-11,8,2,0,14.11
175,2017-11-11,9,2,1,2.38
175,2017-11-11,10,1,1,1.93
175,2017-11-11,11,2,1,15.61
175,2017-11-11,12,2,0,7.23
175,2017-11-11,13,1,0,0.47
175,2017-11-11,14,2,1,101.49
175,2017-11-11,15,1,0,23.45
175,2017-11-11,16,2,1,16.55
175,2017-11-11,17,1,1,5.57
175,2017-11-11,18,1,1,7.97
175,2017-11-11,19,1,1,9.06
175,2017-11-11,20,1,0,6.14
175,2017-11-11,21,2,0,5.17
175,2017-11-11,22,2,1,5.07
175,2017-11-11,23,2,1,0.95
175,2017-11-11,24,2,1,2.99
175,2017-11-11,25,2,1,0.35
175,2017-11-11,26,1,1,29.04
175,2017-11-11,27,2,0,60.03
175,2017-11-11,28,1,1,54.17
175,2017-11-11,29,2,1,28.64
175,2017-11-11,30,2,1,1.42
175,2017-11-11,31,2,1,1.62
175,2017-11-11,32,2,0,96.8
175,2017-11-11,33,2,1,4.99
175,2017-11-11,34,1,0,6.88
175,2017-11-11,35,1,0,15.06
175,2017-11-11,36,1,0,1.53
